,/ram/load/0,/ram/data/0,/ram/data/1
Time,"Memory","Used Memory","Available Memory"
09/22/2021 14:51:17,68.84089,10.8475685,4.90988159
09/22/2021 14:51:47,68.66573,10.8199692,4.937481
09/22/2021 14:52:17,69.01151,10.8744545,4.88299561
09/22/2021 14:52:47,68.9626846,10.86676,4.89069
09/22/2021 14:54:17,68.89042,10.8553734,4.90207672
09/22/2021 14:54:47,69.1387,10.8944969,4.862953
09/22/2021 14:55:17,69.9750748,11.0262871,4.731163
09/22/2021 14:55:47,69.5815353,10.9642754,4.79317474
09/22/2021 14:56:17,69.26609,10.91457,4.84288025
09/22/2021 14:56:47,69.31785,10.9227257,4.83472443
09/22/2021 14:57:17,69.07961,10.8851852,4.872265
09/22/2021 14:57:48,69.07497,10.8844528,4.87299728
09/22/2021 14:58:18,69.06697,10.883194,4.874256
09/22/2021 14:59:48,75.17197,11.8451843,3.91226578
09/22/2021 15:00:18,75.30506,11.8661575,3.89129257
09/22/2021 15:00:48,75.678894,11.9250641,3.832386
09/22/2021 15:01:18,75.26381,11.8596573,3.89779282
09/22/2021 15:01:48,74.6650543,11.7653084,3.99214172
09/22/2021 15:02:18,75.1232,11.8375015,3.91994858
09/22/2021 15:02:48,75.8879852,11.9580116,3.79943848
09/22/2021 15:03:18,75.2164841,11.8522,3.90525055
09/22/2021 15:03:48,73.2944641,11.5493393,4.208111
09/22/2021 15:04:18,73.89102,11.6433411,4.114109
09/22/2021 15:04:48,74.34729,11.7152367,4.04221344
09/22/2021 15:05:18,74.13878,11.6823807,4.07506943
09/22/2021 15:05:48,74.71991,11.7739525,3.98349762
09/22/2021 15:06:18,72.5345,11.4295883,4.327862
09/22/2021 15:06:48,70.71756,11.1432838,4.61416626
09/22/2021 15:07:18,70.69976,11.14048,4.61697
09/22/2021 15:07:48,70.80785,11.1575127,4.59993744
09/22/2021 15:08:18,70.95245,11.1802979,4.57715225
09/22/2021 15:08:48,70.9939041,11.1868286,4.57062149
09/22/2021 15:09:18,70.95478,11.1806641,4.576786
09/22/2021 15:09:48,70.85252,11.1645508,4.59289932
09/22/2021 15:10:19,70.8457947,11.16349,4.59396
09/22/2021 15:10:49,70.88777,11.170105,4.587345
09/22/2021 15:11:19,70.75702,11.1495018,4.6079483
09/22/2021 15:11:49,70.41347,11.0953674,4.66208267
09/22/2021 15:12:19,70.54127,11.1155052,4.641945
09/22/2021 15:12:49,70.45044,11.1011925,4.65625763
09/22/2021 15:13:19,70.58635,11.1226082,4.634842
09/22/2021 15:13:49,70.28269,11.07476,4.68268967
09/22/2021 15:14:19,71.1548157,11.2121849,4.545265
09/22/2021 15:14:49,70.33293,11.0826759,4.674774
09/22/2021 15:15:19,70.01117,11.0319748,4.72547531
09/22/2021 15:15:50,70.2174759,11.0644836,4.69296646
09/22/2021 15:16:20,70.56952,11.119957,4.637493
09/22/2021 15:16:50,70.05482,11.0388527,4.71859741
09/22/2021 15:17:20,70.8983,11.1717644,4.58568573
09/22/2021 15:17:50,70.6570358,11.1337471,4.623703
09/22/2021 15:18:20,71.47057,11.26194,4.49551
09/22/2021 15:18:50,71.491806,11.2652855,4.49216461
09/22/2021 15:19:20,71.46779,11.2615013,4.495949
09/22/2021 15:19:50,71.0145,11.1900749,4.567375
09/22/2021 15:20:20,71.18653,11.2171822,4.540268
09/22/2021 15:20:50,71.20091,11.2194481,4.538002
09/22/2021 15:21:20,72.74076,11.46209,4.29536057
09/22/2021 15:21:50,70.49803,11.1086922,4.648758
09/22/2021 15:22:20,70.07842,11.042572,4.714878
09/22/2021 15:22:50,70.00756,11.0314064,4.7260437
09/22/2021 15:23:20,69.96009,11.0239258,4.73352432
09/22/2021 15:23:50,69.70829,10.9842491,4.773201
09/22/2021 15:24:20,69.5972,10.9667435,4.79070663
09/22/2021 15:24:50,69.52958,10.956089,4.801361
09/22/2021 15:25:20,69.22259,10.9077148,4.84973526
09/22/2021 15:25:50,68.98101,10.869648,4.887802
09/22/2021 15:26:21,68.79634,10.8405495,4.91690063
09/22/2021 15:26:51,67.7098541,10.6693459,5.08810425
09/22/2021 15:27:21,67.67879,10.6644516,5.0929985
09/22/2021 15:27:51,67.57046,10.6473808,5.11006927
09/22/2021 15:28:21,67.5782,10.6486015,5.10884857
09/22/2021 15:28:51,67.38904,10.6187935,5.13865662
09/22/2021 15:29:21,67.3488,10.6124535,5.14499664
09/22/2021 15:29:51,67.20672,10.590065,5.167385
09/22/2021 15:30:21,67.02643,10.561657,5.195793
09/22/2021 15:30:51,66.90561,10.5426178,5.21483231
09/22/2021 15:31:21,66.80763,10.52718,5.23027039
09/22/2021 15:31:51,66.62541,10.4984665,5.25898361
09/22/2021 15:32:21,66.7455444,10.517395,5.240055
09/22/2021 15:32:51,66.4381561,10.46896,5.2884903
09/22/2021 15:33:22,66.28802,10.4453011,5.312149
09/22/2021 15:33:52,66.33133,10.4521255,5.30532455
09/22/2021 15:34:22,66.3239441,10.4509621,5.306488
09/22/2021 15:34:52,66.18324,10.428791,5.328659
09/22/2021 15:35:22,65.5018845,10.3214264,5.43602371
09/22/2021 15:35:52,65.19798,10.2735405,5.48390961
09/22/2021 15:36:22,65.21539,10.2762833,5.481167
09/22/2021 15:36:52,64.73134,10.2000084,5.55744171
09/22/2021 15:37:22,64.55747,10.1726112,5.584839
09/22/2021 15:37:52,64.24629,10.1235771,5.633873
09/22/2021 15:38:22,64.21199,10.1181717,5.63927841
09/22/2021 15:38:52,64.41135,10.1495857,5.60786438
09/22/2021 15:39:22,63.77274,10.0489578,5.70849228
09/22/2021 15:39:52,63.6237831,10.025486,5.731964
09/22/2021 15:40:22,63.45909,9.999535,5.7579155
09/22/2021 15:40:52,63.2980766,9.974163,5.783287
09/22/2021 15:41:22,63.1615639,9.952652,5.804798
09/22/2021 15:41:52,63.11455,9.945244,5.81220627
09/22/2021 15:42:23,63.2493,9.966476,5.79097366
09/22/2021 15:42:53,62.5499763,9.856281,5.901169
09/22/2021 15:43:23,62.32183,9.820332,5.93711853
09/22/2021 15:43:53,71.6774139,11.2945328,4.46291733
09/22/2021 15:44:23,71.7840042,11.3113289,4.446121
09/22/2021 15:44:53,72.2561,11.3857193,4.371731
09/22/2021 15:45:23,72.68976,11.454052,4.303398
09/22/2021 15:45:53,72.0246658,11.3492508,4.40819931
09/22/2021 15:46:23,71.95674,11.3385468,4.41890335
09/22/2021 15:46:53,74.21947,11.6950951,4.062355
09/22/2021 15:47:23,76.1381149,11.9974251,3.760025
09/22/2021 15:47:53,75.21721,11.852314,3.905136
09/22/2021 15:48:23,74.91835,11.8052216,3.95222855
09/22/2021 15:48:53,75.13739,11.8397369,3.91771317
09/22/2021 15:49:23,74.3321838,11.7128563,4.044594
09/22/2021 15:49:53,74.08237,11.6734924,4.08395767
09/22/2021 15:50:23,74.2334061,11.6972923,4.060158
09/22/2021 15:50:54,73.46689,11.5765076,4.18094254
09/22/2021 15:51:24,73.86982,11.6399994,4.11745071
09/22/2021 15:51:54,74.27592,11.7039909,4.053459
09/22/2021 15:52:24,73.94142,11.6512833,4.106167
09/22/2021 15:52:54,74.08537,11.6739655,4.08348465
09/22/2021 15:53:24,73.7788849,11.6256714,4.13177872
09/22/2021 15:53:54,73.65172,11.6056328,4.15181732
09/22/2021 15:54:24,74.33583,11.7134323,4.044018
09/22/2021 15:54:54,75.65539,11.92136,3.83609
09/22/2021 15:55:24,75.4301453,11.8858681,3.871582
09/22/2021 15:55:54,75.77229,11.9397812,3.817669
09/22/2021 15:56:24,76.6611938,12.0798492,3.67760086
09/22/2021 15:56:54,75.61828,11.9155121,3.841938
09/22/2021 15:57:24,75.2573242,11.8586349,3.89881516
09/22/2021 15:57:54,76.4350357,12.0442123,3.71323776
09/22/2021 15:58:24,76.5387955,12.0605621,3.696888
09/22/2021 15:58:55,76.41349,12.0408173,3.71663284
09/22/2021 15:59:25,76.18997,12.0055962,3.751854
09/22/2021 15:59:55,76.0596542,11.9850616,3.77238846
09/22/2021 16:00:25,76.15617,12.0002708,3.75717926
09/22/2021 16:00:55,75.9636841,11.96994,3.78751
09/22/2021 16:01:25,75.93113,11.9648094,3.79264069
09/22/2021 16:01:55,76.0079651,11.9769173,3.78053284
09/22/2021 16:02:25,76.2303,12.0119514,3.74549866
09/22/2021 16:02:55,75.7245,11.932251,3.82519913
09/22/2021 16:03:25,76.69794,12.08564,3.67181015
09/22/2021 16:03:55,76.26349,12.0171814,3.74026871
09/22/2021 16:04:25,76.5026,12.0548592,3.702591
09/22/2021 16:04:55,76.59757,12.0698242,3.687626
09/22/2021 16:05:25,76.57233,12.0658455,3.69160461
09/22/2021 16:05:55,77.17381,12.1606255,3.59682465
09/22/2021 16:06:25,76.73452,12.091404,3.66604614
09/22/2021 16:06:55,76.9954453,12.1325188,3.62493134
09/22/2021 16:07:25,77.5385,12.21809,3.53936
09/22/2021 16:07:55,77.0343,12.1386414,3.61880875
09/22/2021 16:08:25,76.94713,12.1249046,3.63254547
09/22/2021 16:08:56,76.8661957,12.1121521,3.645298
09/22/2021 16:09:26,76.81943,12.1047821,3.652668
09/22/2021 16:09:56,76.9494,12.1252632,3.632187
09/22/2021 16:10:26,76.91657,12.1200905,3.63735962
09/22/2021 16:10:56,77.54779,12.2195549,3.5378952
09/22/2021 16:11:26,77.52261,12.2155876,3.54186249
09/22/2021 16:11:56,77.74711,12.2509613,3.5064888
09/22/2021 16:12:26,77.59178,12.2264862,3.530964
09/22/2021 16:12:56,77.58493,12.2254066,3.53204346
09/22/2021 16:13:26,77.6991959,12.243412,3.514038
09/22/2021 16:13:56,77.85585,12.2680969,3.48935318
09/22/2021 16:14:26,76.99782,12.1328926,3.6245575
09/22/2021 16:14:56,77.57302,12.22353,3.53392029
09/22/2021 16:15:26,78.6935959,12.4001045,3.35734558
09/22/2021 16:15:56,78.48663,12.3674927,3.38995743
09/22/2021 16:16:26,78.4402542,12.3601837,3.39726639
09/22/2021 16:16:56,77.13118,12.1539078,3.60354233
09/22/2021 16:17:26,76.99748,12.1328392,3.624611
09/22/2021 16:17:56,77.1460953,12.1562576,3.60119247
09/22/2021 16:18:27,76.04944,11.9834518,3.77399826
09/22/2021 16:18:57,75.95466,11.9685173,3.7889328
09/22/2021 16:19:27,77.27293,12.1762428,3.58120728
09/22/2021 16:19:57,77.23078,12.1696014,3.58784866
09/22/2021 16:20:27,77.50703,12.213131,3.54431915
09/22/2021 16:20:57,77.6027451,12.2282143,3.52923584
09/22/2021 16:21:27,77.43948,12.2024879,3.55496216
09/22/2021 16:21:57,69.25045,10.9121056,4.84534454
09/22/2021 16:22:27,69.4424744,10.9423637,4.81508636
09/22/2021 16:22:57,69.25181,10.9123192,4.845131
09/22/2021 16:23:27,69.5528946,10.9597626,4.79768753
09/22/2021 16:23:57,69.39709,10.9352112,4.822239
09/22/2021 16:24:28,69.60162,10.9674416,4.79000854
09/22/2021 16:24:58,69.42485,10.9395866,4.81786346
09/22/2021 16:25:28,69.5982361,10.9669075,4.7905426
09/22/2021 16:25:58,69.79639,10.9981308,4.75931931
09/22/2021 16:26:28,69.6363144,10.972908,4.784542
09/22/2021 16:26:58,68.47369,10.7897072,4.967743
09/22/2021 16:27:28,67.9289856,10.7038765,5.05357361
09/22/2021 16:27:58,68.2081146,10.74786,5.00959
09/22/2021 16:28:28,68.31016,10.7639389,4.993511
09/22/2021 16:28:58,68.4926147,10.79269,4.96476
09/22/2021 16:29:28,68.27902,10.7590332,4.998417
09/22/2021 16:29:58,68.23221,10.7516556,5.00579453
09/22/2021 16:30:28,68.36293,10.7722549,4.985195
09/22/2021 16:30:58,68.07238,10.7264709,5.030979
09/22/2021 16:31:28,68.9707642,10.8680344,4.88941574
09/22/2021 16:31:58,68.1231461,10.73447,5.02297974
09/22/2021 16:32:29,68.09387,10.7298584,5.02759171
09/22/2021 16:32:59,68.18686,10.7445107,5.01293945
09/22/2021 16:33:29,68.30781,10.7635689,4.993881
09/22/2021 16:33:59,68.642395,10.8162918,4.94115829
09/22/2021 16:34:29,68.28469,10.7599258,4.99752426
09/22/2021 16:34:59,68.22538,10.75058,5.00687027
09/22/2021 16:35:29,68.2158356,10.7490768,5.00837326
09/22/2021 16:35:59,68.49952,10.7937775,4.96367264
09/22/2021 16:36:29,68.14043,10.7371941,5.020256
09/22/2021 16:36:59,67.62502,10.6559792,5.101471
09/22/2021 16:37:29,67.77966,10.6803474,5.07710266
09/22/2021 16:37:59,67.7694244,10.6787338,5.07871628
09/22/2021 16:38:29,67.8858,10.6970711,5.060379
09/22/2021 16:38:59,66.34399,10.4541206,5.30332947
09/22/2021 16:39:30,68.313446,10.7644577,4.9929924
09/22/2021 16:40:00,67.11417,10.5754814,5.18196869
09/22/2021 16:40:30,66.8800659,10.5385933,5.218857
09/22/2021 16:41:00,67.4390259,10.6266708,5.13077927
09/22/2021 16:41:30,67.3690643,10.6156464,5.14180374
09/22/2021 16:42:00,67.24017,10.5953369,5.162113
09/22/2021 16:42:30,66.84163,10.5325356,5.22491455
09/22/2021 16:43:00,67.4799347,10.6331177,5.12433243
09/22/2021 16:43:30,68.0754547,10.7269554,5.03049469
09/22/2021 16:44:00,67.59152,10.6507,5.10675049
09/22/2021 16:44:30,65.82301,10.3720284,5.38542175
09/22/2021 16:45:00,65.55296,10.3294754,5.4279747
09/22/2021 16:45:30,65.43657,10.3111343,5.446316
09/22/2021 16:46:00,65.18089,10.2708473,5.486603
09/22/2021 16:46:31,65.1686249,10.2689133,5.488537
09/22/2021 16:47:01,64.49629,10.1629715,5.59447861
09/22/2021 16:47:31,64.28261,10.1292992,5.628151
09/22/2021 16:48:01,64.09109,10.0991211,5.658329
09/22/2021 16:48:31,63.929348,10.0736351,5.683815
09/22/2021 16:49:01,63.881752,10.0661354,5.6913147
09/22/2021 16:49:31,63.8388062,10.0593681,5.698082
09/22/2021 16:50:01,63.7009125,10.03764,5.71981049
