,/ram/load/0,/ram/data/0,/ram/data/1
09/22/2021 16:50:31,63.617466,10.02449,5.73295975
09/22/2021 16:51:01,63.5564346,10.0148735,5.7425766
09/22/2021 16:51:31,63.4964943,10.0054283,5.752022
09/22/2021 16:52:01,63.55673,10.0149193,5.742531
09/22/2021 16:52:31,63.411232,9.991993,5.765457
09/22/2021 16:53:01,63.37794,9.986748,5.77070236
09/22/2021 16:53:31,66.67112,10.5056686,5.25178146
09/22/2021 16:54:01,67.02666,10.5616913,5.195759
09/22/2021 16:54:31,67.4723358,10.63192,5.12553024
09/22/2021 16:55:02,67.59382,10.651062,5.106388
09/22/2021 16:55:32,67.9109344,10.7010307,5.05641937
09/22/2021 16:56:02,67.23761,10.5949326,5.16251755
09/22/2021 16:56:32,68.74829,10.8329773,4.924473
09/22/2021 16:57:02,68.596405,10.8090439,4.948406
09/22/2021 16:57:32,68.5727,10.8053093,4.952141
09/22/2021 16:58:02,68.34856,10.769989,4.987461
09/22/2021 16:58:32,69.97336,11.0260162,4.731434
09/22/2021 16:59:02,71.91413,11.3318329,4.425617
09/22/2021 16:59:32,73.9060059,11.6457024,4.11174774
09/22/2021 17:00:02,73.9201,11.6479225,4.10952759
09/22/2021 17:00:32,73.44401,11.5729027,4.18454742
09/22/2021 17:01:02,73.4607544,11.5755424,4.18190765
09/22/2021 17:01:33,73.24472,11.5415,4.21595
09/22/2021 17:02:03,72.8062439,11.4724083,4.285042
09/22/2021 17:02:33,73.55658,11.590641,4.166809
09/22/2021 17:03:03,68.97357,10.8684769,4.888973
09/22/2021 17:03:33,67.6447,10.6590805,5.0983696
09/22/2021 17:04:03,67.52993,10.640995,5.116455
09/22/2021 17:04:33,68.24148,10.7531166,5.0043335
09/22/2021 17:05:03,68.3266449,10.7665367,4.99091339
09/22/2021 17:05:33,68.29188,10.7610588,4.9963913
09/22/2021 17:06:03,68.12418,10.7346344,5.0228157
09/22/2021 17:06:33,67.73074,10.6726379,5.084812
09/22/2021 17:07:03,67.8467255,10.6909142,5.066536
09/22/2021 17:07:33,68.0102844,10.7166862,5.040764
09/22/2021 17:08:03,67.9844055,10.7126083,5.044842
09/22/2021 17:08:33,68.0255356,10.7190895,5.0383606
09/22/2021 17:09:03,67.9991,10.7149239,5.04252625
09/22/2021 17:09:33,68.16556,10.7411537,5.01629639
09/22/2021 17:10:03,68.1990662,10.7464333,5.011017
09/22/2021 17:10:34,68.01256,10.7170448,5.04040527
09/22/2021 17:11:04,68.04163,10.7216263,5.035824
09/22/2021 17:11:34,68.0671,10.7256393,5.03181076
09/22/2021 17:12:04,68.27324,10.7581215,4.99932861
09/22/2021 17:12:34,68.3508759,10.7703552,4.987095
09/22/2021 17:13:04,68.14517,10.7379417,5.01950836
09/22/2021 17:13:34,68.43154,10.7830658,4.97438431
09/22/2021 17:14:04,68.41179,10.779953,4.977497
09/22/2021 17:14:34,68.34964,10.7701607,4.98728943
09/22/2021 17:15:04,67.99501,10.7142792,5.043171
09/22/2021 17:15:34,68.51514,10.7962379,4.961212
09/22/2021 17:16:04,68.503685,10.7944336,4.96301651
09/22/2021 17:16:34,72.73048,11.4604683,4.296982
09/22/2021 17:17:04,75.75925,11.9377251,3.819725
09/22/2021 17:17:34,71.85951,11.3232269,4.434223
09/22/2021 17:18:04,68.4982147,10.7935715,4.96387863
09/22/2021 17:18:34,68.5992355,10.80949,4.94796
09/22/2021 17:19:04,68.8184,10.8440247,4.91342545
09/22/2021 17:19:35,68.98178,10.86977,4.88768
09/22/2021 17:20:05,69.38745,10.9336929,4.823757
09/22/2021 17:20:35,69.78343,10.99609,4.76136
09/22/2021 17:21:05,73.56752,11.5923653,4.165085
09/22/2021 17:21:35,73.53975,11.58799,4.1694603
09/22/2021 17:22:05,71.59941,11.2822418,4.47520828
09/22/2021 17:22:35,71.58915,11.2806244,4.47682571
09/22/2021 17:23:05,71.5437546,11.2734718,4.48397827
09/22/2021 17:23:35,71.4174652,11.2535706,4.50387955
09/22/2021 17:24:05,69.02778,10.877018,4.880432
09/22/2021 17:24:35,71.70993,11.2996559,4.457794
09/22/2021 17:25:05,71.8268051,11.3180733,4.439377
09/22/2021 17:25:35,71.4212341,11.2541656,4.50328445
09/22/2021 17:26:05,71.27717,11.2314644,4.52598572
09/22/2021 17:26:35,70.4244156,11.0970917,4.66035843
09/22/2021 17:27:06,69.42064,10.9389229,4.818527
09/22/2021 17:27:36,69.0141449,10.87487,4.88258
09/22/2021 17:28:06,69.6262,10.9713135,4.78613663
09/22/2021 17:28:36,70.1022644,11.0463295,4.71112061
09/22/2021 17:29:06,69.22203,10.9076271,4.849823
09/22/2021 17:29:36,69.6994553,10.9828568,4.77459335
09/22/2021 17:30:06,69.7800751,10.99556,4.76189041
09/22/2021 17:30:36,69.75639,10.9918289,4.765621
09/22/2021 17:31:06,69.45044,10.9436188,4.81383133
09/22/2021 17:31:36,69.27263,10.9156,4.84185028
09/22/2021 17:32:06,69.45674,10.9446106,4.81283951
09/22/2021 17:32:36,69.28406,10.9174,4.84004974
09/22/2021 17:33:06,69.46025,10.9451637,4.81228638
09/22/2021 17:33:36,70.33864,11.0835762,4.673874
09/22/2021 17:34:06,70.1049042,11.0467453,4.710705
09/22/2021 17:34:37,69.97336,11.0260162,4.731434
09/22/2021 17:35:07,69.47559,10.9475822,4.809868
09/22/2021 17:35:37,70.04486,11.0372849,4.72016525
09/22/2021 17:36:07,70.1706543,11.057106,4.700344
09/22/2021 17:36:37,70.21576,11.0642128,4.6932373
09/22/2021 17:37:07,68.72616,10.8294907,4.92795944
09/22/2021 17:37:37,68.71546,10.8278046,4.92964554
09/22/2021 17:38:07,69.25767,10.9132423,4.844208
09/22/2021 17:38:37,68.75296,10.8337135,4.92373657
09/22/2021 17:39:08,69.7334442,10.9882126,4.76923752
09/22/2021 17:39:38,69.77913,10.9954109,4.762039
09/22/2021 17:40:08,69.7423553,10.9896164,4.76783371
09/22/2021 17:40:38,69.6828461,10.98024,4.77721
09/22/2021 17:41:08,70.01654,11.0328217,4.72462845
09/22/2021 17:41:38,69.44587,10.9428978,4.81455231
09/22/2021 17:42:08,67.5531,10.6446457,5.11280441
09/22/2021 17:42:38,67.48749,10.6343079,5.12314224
09/22/2021 17:43:08,67.4353,10.6260834,5.13136673
09/22/2021 17:43:38,67.49466,10.635437,5.122013
09/22/2021 17:44:08,67.5211945,10.6396179,5.117832
09/22/2021 17:44:38,66.3191452,10.4502068,5.30724335
09/22/2021 17:45:09,66.69928,10.5101051,5.247345
09/22/2021 17:45:39,66.45595,10.4717636,5.28568649
09/22/2021 17:46:09,67.00932,10.55896,5.19849
09/22/2021 17:46:39,67.71578,10.67028,5.08716965
09/22/2021 17:47:09,66.4959946,10.4780731,5.279377
09/22/2021 17:47:39,67.6222839,10.6555481,5.101902
09/22/2021 17:48:09,67.7664,10.678257,5.079193
09/22/2021 17:48:39,66.6397247,10.500721,5.256729
09/22/2021 17:49:09,66.4847641,10.4763031,5.281147
09/22/2021 17:49:39,66.50711,10.4798241,5.277626
09/22/2021 17:50:09,66.59065,10.4929886,5.26446152
09/22/2021 17:50:40,66.48404,10.4761887,5.28126144
09/22/2021 17:51:10,66.43506,10.4684715,5.28897858
09/22/2021 17:51:40,66.43329,10.4681931,5.289257
09/22/2021 17:52:10,65.26715,10.2844391,5.473011
09/22/2021 17:52:40,65.29669,10.289093,5.468357
09/22/2021 17:53:10,65.2513,10.28194,5.47550964
09/22/2021 17:53:40,65.6236038,10.3406067,5.41684341
09/22/2021 17:54:10,65.78682,10.3663254,5.39112473
09/22/2021 17:54:40,65.46814,10.3161087,5.4413414
09/22/2021 17:55:10,71.71593,11.300602,4.456848
09/22/2021 17:55:40,73.5221,11.5852089,4.172241
09/22/2021 17:56:10,73.62574,11.60154,4.15591049
09/22/2021 17:56:40,72.07759,11.35759,4.39986038
09/22/2021 17:57:10,72.22737,11.3811913,4.376259
09/22/2021 17:57:41,71.81044,11.3154945,4.44195557
09/22/2021 17:58:11,71.01758,11.1905594,4.56689072
09/22/2021 17:58:41,70.69373,11.13953,4.61792
09/22/2021 17:59:11,70.86037,11.1657867,4.59166336
09/22/2021 17:59:41,68.61942,10.8126717,4.94477844
09/22/2021 18:00:11,69.99836,11.0299568,4.72749329
09/22/2021 18:00:41,70.54676,11.1163712,4.641079
09/22/2021 18:01:11,70.22002,11.0648842,4.692566
09/22/2021 18:01:41,70.61751,11.1275177,4.6299324
09/22/2021 18:02:11,70.53928,11.1151924,4.64225769
09/22/2021 18:02:41,71.15719,11.2125587,4.54489136
09/22/2021 18:03:11,71.2402954,11.2256546,4.5317955
09/22/2021 18:03:41,71.3927155,11.2496719,4.507778
09/22/2021 18:04:11,72.5297546,11.4288406,4.32860947
09/22/2021 18:04:42,73.1909,11.53302,4.22443
09/22/2021 18:05:12,74.57098,11.7504845,4.00696564
09/22/2021 18:05:42,73.49901,11.58157,4.17588043
09/22/2021 18:06:12,73.14982,11.5265465,4.23090363
09/22/2021 18:06:42,73.3679657,11.5609207,4.19652939
09/22/2021 18:07:12,73.2307053,11.5392914,4.21815872
09/22/2021 18:07:42,72.9965057,11.502388,4.255062
09/22/2021 18:08:12,72.87306,11.4829369,4.27451324
09/22/2021 18:08:42,74.06044,11.6700363,4.087414
09/22/2021 18:09:12,74.40582,11.7244606,4.0329895
09/22/2021 18:09:42,73.89163,11.6434364,4.11401367
09/22/2021 18:10:12,74.39839,11.7232895,4.03416061
09/22/2021 18:10:42,74.11152,11.6780853,4.079365
09/22/2021 18:11:12,74.25682,11.7009811,4.056469
09/22/2021 18:11:42,73.8564,11.637886,4.119564
09/22/2021 18:12:12,73.90393,11.6453743,4.112076
09/22/2021 18:12:42,73.99094,11.6590843,4.098366
09/22/2021 18:13:12,74.0959,11.6756248,4.08182526
09/22/2021 18:13:42,75.31971,11.8684654,3.88898468
09/22/2021 18:14:12,75.46658,11.8916092,3.865841
09/22/2021 18:14:42,75.6124649,11.9145966,3.84285355
09/22/2021 18:15:12,70.42134,11.0966072,4.660843
09/22/2021 18:15:42,70.3053741,11.0783348,4.6791153
09/22/2021 18:16:12,70.21292,11.0637665,4.69368362
09/22/2021 18:16:42,70.74293,11.1472816,4.61016846
09/22/2021 18:17:12,70.18274,11.05901,4.69844055
09/22/2021 18:17:42,70.2247849,11.0656357,4.69181442
09/22/2021 18:18:12,70.58034,11.1216621,4.635788
09/22/2021 18:18:42,70.76794,11.1512222,4.606228
09/22/2021 18:19:12,70.679306,11.1372566,4.62019348
09/22/2021 18:19:42,70.67408,11.1364326,4.62101746
09/22/2021 18:20:12,70.6434555,11.1316071,4.625843
09/22/2021 18:20:42,71.50442,11.2672729,4.490177
09/22/2021 18:21:12,71.4608154,11.2604027,4.49704742
09/22/2021 18:21:43,71.5164948,11.2691765,4.48827362
09/22/2021 18:22:13,70.59637,11.1241875,4.63326263
09/22/2021 18:22:43,69.32647,10.9240837,4.83336639
09/22/2021 18:23:13,70.0537,11.0386772,4.718773
09/22/2021 18:23:43,70.392,11.0919838,4.66546631
09/22/2021 18:24:13,69.31073,10.9216042,4.835846
09/22/2021 18:24:43,68.85498,10.8497887,4.90766144
09/22/2021 18:25:13,68.9733353,10.8684387,4.88901138
09/22/2021 18:25:43,69.13142,10.8933487,4.86410141
09/22/2021 18:26:13,69.7470245,10.9903526,4.76709747
09/22/2021 18:26:43,69.8456039,11.0058861,4.751564
09/22/2021 18:27:13,69.48605,10.94923,4.80822
09/22/2021 18:27:43,69.65203,10.9753838,4.78206635
09/22/2021 18:28:13,70.30301,11.077961,4.679489
09/22/2021 18:28:43,69.76799,10.9936562,4.763794
09/22/2021 18:29:13,69.82568,11.0027466,4.75470352
09/22/2021 18:29:43,70.50273,11.1094322,4.648018
09/22/2021 18:30:13,70.04237,11.0368919,4.720558
09/22/2021 18:30:43,70.59659,11.1242218,4.6332283
09/22/2021 18:31:13,70.1288,11.05051,4.7069397
09/22/2021 18:31:43,70.12529,11.0499573,4.707493
09/22/2021 18:32:13,69.45388,10.94416,4.81328964
09/22/2021 18:32:43,69.46654,10.9461555,4.81129456
09/22/2021 18:33:13,70.1190948,11.0489807,4.70846939
09/22/2021 18:33:43,70.64556,11.1319389,4.625511
09/22/2021 18:34:13,70.1711,11.0571747,4.70027542
09/22/2021 18:34:43,71.30463,11.23579,4.52166
09/22/2021 18:35:13,71.77868,11.31049,4.44696045
09/22/2021 18:35:43,71.81417,11.316082,4.441368
09/22/2021 18:36:13,72.03525,11.3509178,4.40653229
09/22/2021 18:36:43,71.9807739,11.3423347,4.41511536
09/22/2021 18:37:13,70.425766,11.0973053,4.660145
09/22/2021 18:37:43,70.37727,11.0896645,4.66778564
09/22/2021 18:38:13,69.93958,11.0206947,4.73675537
09/22/2021 18:38:43,70.38965,11.0916138,4.66583633
09/22/2021 18:39:13,71.28087,11.232048,4.525402
09/22/2021 18:39:43,71.3503,11.2429886,4.51446152
09/22/2021 18:40:13,71.3538361,11.2435455,4.51390457
09/22/2021 18:40:43,69.45083,10.94368,4.81377029
09/22/2021 18:41:13,70.50895,11.1104126,4.64703751
09/22/2021 18:41:43,71.69291,11.2969742,4.460476
09/22/2021 18:42:13,70.06471,11.0404129,4.717037
09/22/2021 18:42:43,72.44641,11.4157066,4.34174347
09/22/2021 18:43:13,73.19216,11.5332184,4.22423172
09/22/2021 18:43:43,73.29035,11.5486908,4.20875931
09/22/2021 18:44:13,73.67767,11.6097221,4.147728
09/22/2021 18:44:43,73.71277,11.6152534,4.14219666
09/22/2021 18:45:13,73.2920456,11.5489578,4.20849228
09/22/2021 18:45:43,74.86444,11.7967262,3.96072388
09/22/2021 18:46:13,75.478035,11.8934135,3.86403656
09/22/2021 18:46:43,76.30179,12.0232162,3.73423386
09/22/2021 18:47:13,75.76704,11.9389534,3.8184967
09/22/2021 18:47:43,75.9212952,11.9632607,3.79418945
09/22/2021 18:48:13,76.20106,12.0073433,3.75010681
09/22/2021 18:48:43,76.06548,11.985981,3.771469
09/22/2021 18:49:13,76.64473,12.0772552,3.68019485
